[676660.7385150697, 3558331.4825699413]
[663185.0257030824, 3549120.802693457]
[681376.8139463025, 3559592.525988487]
[675537.2690455741, 3544475.3161401353]
[667109.843112644, 3546467.7579152863]
[665457.426540035, 3539050.646625008]
[665863.5679660158, 3548024.5564892353]
[676746.8997614471, 3538086.6638776776]
[673024.0146736803, 3562048.7223856216]
[665962.6634569243, 3539091.270941726]
[679580.6693303344, 3548818.755892717]
[669380.0338822488, 3548864.535134819]
[669460.4253750822, 3543205.0777021316]
[663744.0518688435, 3552272.2810470574]
[665924.7365507765, 3548120.756969228]
[671475.138518949, 3535718.8145910846]
[666570.1590662654, 3554590.462716189]
[667103.3032900277, 3555670.8365656175]
[674210.6409463843, 3543416.8852645187]
[675700.3531648526, 3546082.85795785]
[673876.953594789, 3543960.1394615853]
[661033.9688613317, 3560015.605039407]
[670418.5671110766, 3548106.735759173]
[679091.650908739, 3548196.0505995583]
[673024.0146736803, 3562048.7223856216]
[671171.1552972251, 3545234.805203459]
[663866.3852702838, 3547769.974084542]
[674825.6539548028, 3544069.6685804646]
[663143.9944327932, 3538607.4199574795]
[675700.3531648526, 3546082.85795785]
[665924.7365507765, 3548120.756969228]
[664617.2625560588, 3539332.3063525697]
[672411.4924518131, 3552933.053495483]
[670418.5671110766, 3548106.735759173]
[669878.2857188275, 3554715.900089531]
[674242.0330638923, 3537769.025605237]
[665457.426540035, 3539050.646625008]
[667985.9387033391, 3552803.757020069]
[662076.9669089578, 3539907.2602849384]
[674886.2583909435, 3544453.9683628026]
[666570.1590662654, 3554590.462716189]
[677185.0959986373, 3556790.1468193107]
[669380.0338822488, 3548864.535134819]
[667511.037862263, 3539711.4233224653]
[670311.0808574468, 3546128.9449715796]
[669497.1011851775, 3548971.5555499895]
[665457.426540035, 3539050.646625008]
[667846.0297096646, 3539653.6890864912]
[675544.7677086317, 3544298.6888459832]
[675192.226562077, 3536734.600374611]
[666434.0921213536, 3548360.1933771814]
[669329.5381441466, 3546069.85476878]
[668891.0588179627, 3553183.479239337]
[669380.0338822488, 3548864.535134819]
[663266.9452583576, 3538095.969802518]
[661196.4577676563, 3567224.659650582]
[668291.5393391724, 3547864.986989398]
[666255.5420689117, 3543728.365333226]
[661192.7227747315, 3545698.0246641473]
[677887.0519982523, 3541917.7767990706]
[669696.1013719502, 3548543.475493368]
[664980.7188348408, 3552882.695235092]
[679560.5994046013, 3546157.1486590453]
[668915.531357522, 3542788.494942987]
[662776.9864603956, 3538544.847766162]
[661652.5413346267, 3540321.597350786]
[667103.3032900277, 3555670.8365656175]
[666290.3227593396, 3545303.896475837]
[668216.3516882628, 3537721.141247649]
[673639.9866565032, 3551423.3287698906]
[672895.9011877989, 3547948.5770987556]
[667103.3032900277, 3555670.8365656175]
[675309.9078632494, 3544098.744215161]
[668472.6500292268, 3549279.1230248287]
[669354.2965778902, 3555627.0326268524]
[674825.6539548028, 3544069.6685804646]
[674209.9359772339, 3543833.4289038456]
[664405.8619114052, 3548336.147678478]
[665700.7382758837, 3546035.4840584197]
[668090.7795054951, 3548402.254103054]
[669380.0338822488, 3548864.535134819]
[667103.3032900277, 3555670.8365656175]
[669380.0338822488, 3548864.535134819]
[667289.2480608582, 3544422.976206852]
[672721.3321397515, 3545819.1908953344]
[678467.4483214696, 3547308.59014822]
[661657.8821218081, 3540170.9996517748]
[669665.2033752953, 3548706.396079926]
[679059.0597316761, 3553622.5011936915]
[668291.5393391724, 3547864.986989398]
[672177.8510195817, 3559248.647959536]
[681722.7222242039, 3549803.534923225]
[681957.1708542637, 3549357.6319829626]
[672684.977777683, 3535379.3389602397]
[663444.3662398923, 3546759.1824884163]
[667648.7415671481, 3542529.0097044664]
[668291.5393391724, 3547864.986989398]
[668497.1539720802, 3544302.036275247]
[665113.0181814338, 3554047.161155307]
[667664.7121039829, 3539798.1803062013]
[669380.0338822488, 3548864.535134819]
[662573.8188868109, 3539519.168444747]
[671957.8109906231, 3538121.501533921]
[665297.0406350186, 3555346.509428386]
[674825.6539548028, 3544069.6685804646]
[679522.2444716925, 3548828.852852314]
[681722.7222242039, 3549803.534923225]
[654468.0798230611, 3549815.6185598387]
[675544.7677086317, 3544298.6888459832]
[665237.2639643236, 3553319.808783332]
[674825.6539548028, 3544069.6685804646]
[662477.4471900248, 3543999.83216503]
[672433.6264682836, 3545831.599468002]
